	IFA_FLOW	TSD	IFA2_FLOW	EMBEDDED_WIND_GENERATION	ND	MOYLE_FLOW	NEMO_FLOW	ELECLINK_FLOW	PUMP_STORAGE_PUMPING	EMBEDDED_WIND_CAPACITY	SETTLEMENT_DATE	ENGLAND_WALES_DEMAND	EMBEDDED_SOLAR_CAPACITY	_count	NON_BM_STOR	_full_text	SETTLEMENT_PERIOD	EAST_WEST_FLOW	NSL_FLOW	BRITNED_FLOW	_id	EMBEDDED_SOLAR_GENERATION
8686	390	19864	0	2624	19275	117	14	0	89	6137	2019-07-01	18065	13080	17520	0	'-01':3 '-07':2 '0':10,12,15,20,21 '1':4 '117':17 '13080':11 '14':19 '18065':7 '19275':5 '19864':6 '2019':1 '2624':8 '298':16 '390':14 '408':18 '6137':9 '89':13	1	408	0	298	8687	0
8687	369	19662	0	2609	18787	117	0	0	375	6137	2019-07-01	17625	13080	17520	0	'-01':3 '-07':2 '0':10,12,15,19,20,21 '117':17 '13080':11 '17625':7 '18787':5 '19662':6 '2':4 '2019':1 '2609':8 '298':16 '333':18 '369':14 '375':13 '6137':9	2	333	0	298	8688	0
8688	-72	19383	0	2638	18248	117	0	0	379	6137	2019-07-01	17158	13080	17520	0	'-01':3 '-07':2 '-184':16 '-72':14 '0':10,12,15,19,20,21 '117':17 '13080':11 '17158':7 '18248':5 '19383':6 '2019':1 '2638':8 '3':4 '379':13 '451':18 '6137':9	3	451	0	-184	8689	0
8689	-95	19451	0	2666	18012	117	-10	0	632	6137	2019-07-01	16986	13080	17520	0	'-01':3 '-07':2 '-10':19 '-202':16 '-95':14 '0':10,12,15,20,21 '117':17 '13080':11 '16986':7 '18012':5 '19451':6 '2019':1 '2666':8 '4':4 '441':18 '6137':9 '632':13	4	441	0	-202	8690	0
8690	590	20213	0	2686	17687	117	-652	0	832	6137	2019-07-01	16666	13080	17520	0	'-01':3 '-07':2 '-542':16 '-652':19 '0':10,12,15,20,21 '117':17 '13080':11 '16666':7 '17687':5 '2019':1 '20213':6 '2686':8 '470':18 '5':4 '590':14 '6137':9 '832':13	5	470	0	-542	8691	0
8691	609	20001	0	2706	17441	117	-684	0	817	6137	2019-07-01	16462	13080	17520	0	'-01':3 '-07':2 '-559':16 '-684':19 '0':12,15,20,21 '1':10 '117':17 '13080':11 '16462':7 '17441':5 '20001':6 '2019':1 '2706':8 '438':18 '6':4 '609':14 '6137':9 '817':13	6	438	0	-559	8692	1
8692	546	19862	0	2729	17143	117	-685	0	904	6137	2019-07-01	16229	13080	17520	0	'-01':3 '-07':2 '-630':16 '-685':19 '0':10,12,15,20,21 '117':17 '13080':11 '16229':7 '17143':5 '19862':6 '2019':1 '2729':8 '392':18 '546':14 '6137':9 '7':4 '904':13	7	392	0	-630	8693	0
8693	546	19924	0	2752	17157	117	-685	0	949	6137	2019-07-01	16157	13080	17520	0	'-01':3 '-07':2 '-633':16 '-685':19 '0':12,15,20,21 '1':10 '117':17 '13080':11 '16157':7 '17157':5 '19924':6 '2019':1 '2752':8 '419':18 '546':14 '6137':9 '8':4 '949':13	8	419	0	-633	8694	1
8694	418	20279	0	2726	17087	117	-685	0	1325	6137	2019-07-01	16113	13080	17520	0	'-01':3 '-07':2 '-682':16 '-685':19 '0':10,12,15,20,21 '117':17 '13080':11 '1325':13 '16113':7 '17087':5 '2019':1 '20279':6 '2726':8 '370':18 '418':14 '6137':9 '9':4	9	370	0	-682	8695	0
8695	426	20162	0	2701	16889	117	-685	0	1404	6137	2019-07-01	15934	13080	17520	0	'-01':3 '-07':2 '-684':16 '-685':19 '0':12,15,20,21 '10':4 '117':17 '13080':11 '1404':13 '15934':7 '16889':5 '20162':6 '2019':1 '2701':8 '3':10 '348':18 '426':14 '6137':9	10	348	0	-684	8696	3
8696	-212	19683	0	2742	17140	108	-685	0	439	6137	2019-07-01	16124	13080	17520	0	'-01':3 '-07':2 '-212':14 '-685':19 '-707':16 '0':12,15,20,21 '108':17 '11':4 '13080':11 '16124':7 '17140':5 '19683':6 '2019':1 '2742':8 '412':18 '439':13 '52':10 '6137':9	11	412	0	-707	8697	52
8697	-227	20642	0	2782	18568	116	-624	0	15	6137	2019-07-01	17420	13080	17520	0	'-01':3 '-07':2 '-227':14 '-624':19 '-708':16 '0':12,15,20,21 '116':17 '12':4 '13080':11 '15':13 '17420':7 '18568':5 '2019':1 '20642':6 '217':10 '2782':8 '459':18 '6137':9	12	459	0	-708	8698	217
8698	-269	22457	0	2914	20971	117	625	0	10	6137	2019-07-01	19688	13080	17520	0	'-01':3 '-07':2 '-269':14 '-707':16 '0':12,15,20,21 '10':13 '117':17 '13':4 '13080':11 '19688':7 '2019':1 '20971':5 '22457':6 '2914':8 '488':10 '504':18 '6137':9 '625':19	13	504	0	-707	8699	488
8699	-279	24492	0	3045	22990	117	735	0	15	6137	2019-07-01	21563	13080	17520	0	'-01':3 '-07':2 '-279':14 '-708':16 '0':12,15,20,21 '117':17 '13080':11 '14':4 '15':13 '2019':1 '21563':7 '22990':5 '24492':6 '3045':8 '504':18 '6137':9 '735':19 '869':10	14	504	0	-708	8700	869
8700	1469	26677	0	3214	25454	117	811	0	16	6137	2019-07-01	23819	13080	17520	0	'-01':3 '-07':2 '-707':16 '0':12,15,20,21 '117':17 '13080':11 '1320':10 '1469':14 '15':4 '16':13 '2019':1 '23819':7 '25454':5 '26677':6 '3214':8 '504':18 '6137':9 '811':19	15	504	0	-707	8701	1320
8701	1557	27852	0	3383	26682	117	814	0	17	6137	2019-07-01	24958	13080	17520	0	'-01':3 '-07':2 '-653':16 '0':12,15,20,21 '117':17 '13080':11 '1557':14 '16':4 '17':13 '1820':10 '2019':1 '24958':7 '26682':5 '27852':6 '3383':8 '504':18 '6137':9 '814':19	16	504	0	-653	8702	1820
8702	1599	28029	0	3457	27507	117	943	0	22	6137	2019-07-01	25626	13080	17520	0	'-01':3 '-07':2 '0':12,15,20,21 '117':17 '13080':11 '1599':14 '17':4 '2019':1 '2180':10 '22':13 '25626':7 '27507':5 '280':16 '28029':6 '3457':8 '504':18 '6137':9 '943':19	17	504	0	280	8703	2180
8703	1603	27936	0	3531	27414	117	0	0	22	6137	2019-07-01	25506	13080	17520	0	'-01':3 '-07':2 '0':12,15,19,20,21 '117':17 '13080':11 '1603':14 '18':4 '2019':1 '22':13 '25506':7 '2590':10 '27414':5 '27936':6 '312':16 '3531':8 '504':18 '6137':9	18	504	0	312	8704	2590
