,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
10174,135,-263,0,13080,0,6137,820,19522,0,1365,-389,21670,725,0,0,6,2019-08-01,1,22828,17520,"'-01':3 '-08':2 '-263':18 '-389':17 '0':10,12,15,20,21 '1':4 '13080':11 '135':16 '1365':14 '19522':7 '2019':1 '21670':5 '22828':6 '6':13 '6137':9 '725':19 '820':8",10175
10175,116,-236,0,13080,0,6137,759,18847,0,1365,-406,20929,726,0,0,87,2019-08-01,2,22158,17520,"'-01':3 '-08':2 '-236':18 '-406':17 '0':10,12,15,20,21 '116':16 '13080':11 '1365':14 '18847':7 '2':4 '2019':1 '20929':5 '22158':6 '6137':9 '726':19 '759':8 '87':13",10176
10176,102,-85,0,13080,0,6137,752,18468,0,1365,-424,20471,696,0,0,169,2019-08-01,3,21648,17520,"'-01':3 '-08':2 '-424':17 '-85':18 '0':10,12,15,20,21 '102':16 '13080':11 '1365':14 '169':13 '18468':7 '2019':1 '20471':5 '21648':6 '3':4 '6137':9 '696':19 '752':8",10177
10177,102,-10,0,13080,0,6137,746,18342,0,1365,-375,20288,695,0,0,14,2019-08-01,4,21186,17520,"'-01':3 '-08':2 '-10':18 '-375':17 '0':10,12,15,20,21 '102':16 '13080':11 '1365':14 '14':13 '18342':7 '2019':1 '20288':5 '21186':6 '4':4 '6137':9 '695':19 '746':8",10178
10178,559,-56,0,13080,0,6137,728,18050,0,1365,-306,19955,695,0,0,526,2019-08-01,5,21342,17520,"'-01':3 '-08':2 '-306':17 '-56':18 '0':10,12,15,20,21 '13080':11 '1365':14 '18050':7 '19955':5 '2019':1 '21342':6 '5':4 '526':13 '559':16 '6137':9 '695':19 '728':8",10179
10179,630,-58,0,13080,0,6137,711,17794,0,1365,-329,19657,695,0,0,592,2019-08-01,6,21135,17520,"'-01':3 '-08':2 '-329':17 '-58':18 '0':10,12,15,20,21 '13080':11 '1365':14 '17794':7 '19657':5 '2019':1 '21135':6 '592':13 '6':4 '6137':9 '630':16 '695':19 '711':8",10180
10180,636,-63,0,13080,0,6137,698,17651,0,1365,-313,19502,695,0,0,905,2019-08-01,7,21282,17520,"'-01':3 '-08':2 '-313':17 '-63':18 '0':10,12,15,20,21 '13080':11 '1365':14 '17651':7 '19502':5 '2019':1 '21282':6 '6137':9 '636':16 '695':19 '698':8 '7':4 '905':13",10181
10181,608,-66,0,13080,0,6137,684,17651,0,1365,-313,19530,694,0,0,888,2019-08-01,8,21296,17520,"'-01':3 '-08':2 '-313':17 '-66':18 '0':10,12,15,20,21 '13080':11 '1365':14 '17651':7 '19530':5 '2019':1 '21296':6 '608':16 '6137':9 '684':8 '694':19 '8':4 '888':13",10182
10182,106,0,0,13080,0,6137,654,17684,0,1365,-345,19582,646,0,0,303,2019-08-01,9,20729,17520,"'-01':3 '-08':2 '-345':17 '0':10,12,15,18,20,21 '106':16 '13080':11 '1365':14 '17684':7 '19582':5 '2019':1 '20729':6 '303':13 '6137':9 '646':19 '654':8 '9':4",10183
10183,102,0,0,13080,0,6137,624,17816,0,1366,-343,19724,644,0,0,353,2019-08-01,10,20919,17520,"'-01':3 '-08':2 '-343':17 '0':10,12,15,18,20,21 '10':4 '102':16 '13080':11 '1366':14 '17816':7 '19724':5 '2019':1 '20919':6 '353':13 '6137':9 '624':8 '644':19",10184
