Datetime,IFA_FLOW,TSD,IFA2_FLOW,EMBEDDED_WIND_GENERATION,ND,MOYLE_FLOW,NEMO_FLOW,ELECLINK_FLOW,PUMP_STORAGE_PUMPING,EMBEDDED_WIND_CAPACITY,ENGLAND_WALES_DEMAND,EMBEDDED_SOLAR_CAPACITY,_count,NON_BM_STOR,_full_text,EAST_WEST_FLOW,NSL_FLOW,BRITNED_FLOW,_id,EMBEDDED_SOLAR_GENERATION
2022-07-01 00:00:00,-1032,26386,-1029,552,20850,0,-928,-921,399,6545,18759,13080,14592,0,"'-01':3 '-07':2 '-1029':15 '-1032':14 '-727':16 '-921':21 '-928':19 '0':10,12,17 '1':4 '13080':11 '18759':7 '2022':1 '20850':5 '26386':6 '399':13 '406':20 '464':18 '552':8 '6545':9",464,406,-727,8687,0
2022-07-01 00:30:00,-1032,26158,-1029,537,20273,0,-926,-921,752,6545,18252,13080,14592,0,"'-01':3 '-07':2 '-1029':15 '-1032':14 '-725':16 '-921':21 '-926':19 '0':10,12,17 '13080':11 '18252':7 '2':4 '2022':1 '20273':5 '26158':6 '339':20 '504':18 '537':8 '6545':9 '752':13",504,339,-725,8688,0
2022-07-01 01:00:00,-1032,25858,-1029,533,19804,0,-1018,-921,717,6545,17864,13080,14592,0,"'-01':3 '-07':2 '-1018':19 '-1029':15 '-1032':14 '-837':16 '-921':21 '0':10,12,17 '13080':11 '17864':7 '19804':5 '2022':1 '25858':6 '3':4 '504':18 '533':8 '6545':9 '717':13 '77':20",504,77,-837,8689,0
2022-07-01 01:30:00,-1032,25688,-1028,529,19621,0,-1021,-921,725,6545,17718,13080,14592,0,"'-01':3 '-07':2 '-1021':19 '-1028':15 '-1032':14 '-840':16 '-921':21 '0':10,12,17 '13080':11 '17718':7 '19621':5 '2022':1 '25688':6 '32':20 '4':4 '504':18 '529':8 '6545':9 '725':13",504,32,-840,8690,0
2022-07-01 02:00:00,-984,25243,-980,537,19314,0,-995,-922,983,6545,17469,13080,14592,0,"'-01':3 '-07':2 '-124':20 '-441':16 '-922':21 '-980':15 '-984':14 '-995':19 '0':10,12,17 '13080':11 '17469':7 '19314':5 '2022':1 '25243':6 '5':4 '504':18 '537':8 '6545':9 '983':13",504,-124,-441,8691,0
2022-07-01 02:30:00,-982,24933,-977,544,18997,0,-994,-922,965,6545,17192,13080,14592,0,"'-01':3 '-07':2 '-173':20 '-423':16 '-922':21 '-977':15 '-982':14 '-994':19 '0':10,12,17 '13080':11 '17192':7 '18997':5 '2022':1 '24933':6 '504':18 '544':8 '6':4 '6545':9 '965':13",504,-173,-423,8692,0
2022-07-01 03:00:00,-1001,25210,-988,545,18774,0,-981,-922,899,6545,17001,13080,14592,0,"'-01':3 '-07':2 '-1001':14 '-553':20 '-592':16 '-922':21 '-981':19 '-988':15 '0':10,12,17 '13080':11 '17001':7 '18774':5 '2022':1 '25210':6 '504':18 '545':8 '6545':9 '7':4 '899':13",504,-553,-592,8693,0
2022-07-01 03:30:00,-1001,25272,-989,546,18697,0,-981,-922,974,6545,16917,13080,14592,0,"'-01':3 '-07':2 '-1001':14 '-601':16 '-607':20 '-922':21 '-981':19 '-989':15 '0':10,12,17 '13080':11 '16917':7 '18697':5 '2022':1 '25272':6 '504':18 '546':8 '6545':9 '8':4 '974':13",504,-607,-601,8694,0
2022-07-01 04:00:00,-1032,25712,-1026,567,18606,0,-994,-923,899,6545,16872,13080,14592,0,"'-01':3 '-07':2 '-1026':15 '-1032':14 '-1046':16 '-686':20 '-923':21 '-994':19 '0':10,12,17 '13080':11 '16872':7 '18606':5 '2022':1 '25712':6 '504':18 '567':8 '6545':9 '899':13 '9':4",504,-686,-1046,8695,0
2022-07-01 04:30:00,-1033,25654,-1029,587,18454,0,-995,-923,977,6545,16739,13080,14592,0,"'-01':3 '-07':2 '-1029':15 '-1033':14 '-1067':16 '-676':20 '-923':21 '-995':19 '0':12,17 '1':10 '10':4 '13080':11 '16739':7 '18454':5 '2022':1 '25654':6 '504':18 '587':8 '6545':9 '977':13",504,-676,-1067,8696,1
