	dtm	0.1	0.2	0.3	0.4	0.5
0	2019-12-01 00:00:00	0.01527611437400476	1.1060305409749627e-05	3.0276697026712e-06	1.6554111517364005e-06	1.8307153077865004e-06
1	2019-12-01 00:30:00	0.015210176610106754	2.040941512445481e-05	6.9098759538022105e-06	4.82412344452775e-06	3.5637434165499825e-06
2	2019-12-01 01:00:00	0.012606607073222705	4.954233600868298e-06	1.0940509318006082e-06	8.144803909291239e-07	7.585493580192412e-07
3	2019-12-01 01:30:00	0.01339934149386176	2.29093601324677e-06	8.232371614929324e-07	6.623282247736657e-07	4.263935644527309e-07
4	2019-12-01 02:00:00	0.009206238578816504	5.0369989431214445e-06	1.6483090947877787e-06	1.1936703040637589e-06	7.755402551889066e-07
5	2019-12-01 02:30:00	0.014307971564835691	1.5215497668690792e-05	5.865921591385519e-06	4.033095512748481e-06	3.1761796661215576e-06
6	2019-12-01 03:00:00	0.04756555709623581	2.8726754308552037e-05	1.0974900342709123e-05	7.630063327281724e-06	5.578585593104422e-06
7	2019-12-01 03:30:00	0.005394786346257593	5.146841457901033e-06	1.541255905263678e-06	7.958133592778794e-07	5.889378820584176e-07
8	2019-12-01 04:00:00	0.00795549459358805	9.689065347926482e-06	3.1496618665685544e-06	2.1847434550289916e-06	2.0972489539567017e-06
9	2019-12-01 04:30:00	0.0022980906264658445	3.4474978128428293e-06	9.254524256216462e-07	6.369909176562779e-07	7.763611882728454e-07
10	2019-12-01 05:00:00	0.014900196371532407	3.6652119836484495e-06	7.183492080608419e-07	5.87177104377538e-07	6.659592531683605e-07
11	2019-12-01 05:30:00	0.017927901476336626	3.307659930853404e-06	8.413868637196034e-07	8.80874930729516e-07	7.691246140508446e-07
12	2019-12-01 06:00:00	0.01592488856291227	2.4763826435394354e-06	6.730264110689205e-07	5.02389945909156e-07	4.6243806946904607e-07
13	2019-12-01 06:30:00	0.011339009022936417	1.63296662734e-05	6.065210056347647e-06	3.784850514072116e-06	3.3776045591719326e-06
14	2019-12-01 07:00:00	0.05488735713646318	2.6425808839936772e-05	1.0677315472518805e-05	6.809772021582264e-06	5.283171586764991e-06
15	2019-12-01 07:30:00	0.020975153409662738	5.644299676605601e-06	1.1924160536762503e-06	7.385491050845663e-07	6.67231199971496e-07
