	_count	Total	England/Wales Wind Output	Sett_Period	_full_text	Sett_Date	_id	Scottish Wind Output
16082	17568	12163.53	7605.59	1	'-01':3 '-03':2 '00':5,6 '1':7 '12163.53':10 '2020':1 '4557.94':8 '7605.59':9 't00':4	2020-03-01	16083	4557.94
16083	17568	12322.562	7646.114	2	'-01':3 '-03':2 '00':5,6 '12322.562':10 '2':7 '2020':1 '4676.448':8 '7646.114':9 't00':4	2020-03-01	16084	4676.448
16084	17568	12314.148	7721.634	3	'-01':3 '-03':2 '00':5,6 '12314.148':10 '2020':1 '3':7 '4592.514':8 '7721.634':9 't00':4	2020-03-01	16085	4592.514
16085	17568	12240.42	7797.078	4	'-01':3 '-03':2 '00':5,6 '12240.42':10 '2020':1 '4':7 '4443.342':8 '7797.078':9 't00':4	2020-03-01	16086	4443.342
16086	17568	12243.964	7844.016	5	'-01':3 '-03':2 '00':5,6 '12243.964':10 '2020':1 '4399.948':8 '5':7 '7844.016':9 't00':4	2020-03-01	16087	4399.948
16087	17568	12216.902	7833.746	6	'-01':3 '-03':2 '00':5,6 '12216.902':10 '2020':1 '4383.156':8 '6':7 '7833.746':9 't00':4	2020-03-01	16088	4383.156
16088	17568	12150.084	7839.56	7	'-01':3 '-03':2 '00':5,6 '12150.084':10 '2020':1 '4310.524':8 '7':7 '7839.56':9 't00':4	2020-03-01	16089	4310.524
16089	17568	12079.226	7848.026	8	'-01':3 '-03':2 '00':5,6 '12079.226':10 '2020':1 '4231.2':8 '7848.026':9 '8':7 't00':4	2020-03-01	16090	4231.2
16090	17568	12106.458	7869.256	9	'-01':3 '-03':2 '00':5,6 '12106.458':10 '2020':1 '4237.202':8 '7869.256':9 '9':7 't00':4	2020-03-01	16091	4237.202
16091	17568	11988.668	7808.034	10	'-01':3 '-03':2 '00':5,6 '10':7 '11988.668':10 '2020':1 '4180.634':8 '7808.034':9 't00':4	2020-03-01	16092	4180.634
16092	17568	12058.398	7756.676	11	'-01':3 '-03':2 '00':5,6 '11':7 '12058.398':10 '2020':1 '4301.722':8 '7756.676':9 't00':4	2020-03-01	16093	4301.722
16093	17568	12034.918	7766.384	12	'-01':3 '-03':2 '00':5,6 '12':7 '12034.918':10 '2020':1 '4268.534':8 '7766.384':9 't00':4	2020-03-01	16094	4268.534
16094	17568	12050.342	7796.892	13	'-01':3 '-03':2 '00':5,6 '12050.342':10 '13':7 '2020':1 '4253.45':8 '7796.892':9 't00':4	2020-03-01	16095	4253.45
16095	17568	12240.884	7828.576	14	'-01':3 '-03':2 '00':5,6 '12240.884':10 '14':7 '2020':1 '4412.308':8 '7828.576':9 't00':4	2020-03-01	16096	4412.308
16096	17568	12177.7	7912.612	15	'-01':3 '-03':2 '00':5,6 '12177.7':10 '15':7 '2020':1 '4265.088':8 '7912.612':9 't00':4	2020-03-01	16097	4265.088
16097	17568	12335.324	7983.944	16	'-01':3 '-03':2 '00':5,6 '12335.324':10 '16':7 '2020':1 '4351.38':8 '7983.944':9 't00':4	2020-03-01	16098	4351.38
16098	17568	12352.838	8005.106	17	'-01':3 '-03':2 '00':5,6 '12352.838':10 '17':7 '2020':1 '4347.732':8 '8005.106':9 't00':4	2020-03-01	16099	4347.732
16099	17568	12429.944	7968.234	18	'-01':3 '-03':2 '00':5,6 '12429.944':10 '18':7 '2020':1 '4461.71':8 '7968.234':9 't00':4	2020-03-01	16100	4461.71
16100	17568	12406.832	7938.59	19	'-01':3 '-03':2 '00':5,6 '12406.832':10 '19':7 '2020':1 '4468.242':8 '7938.59':9 't00':4	2020-03-01	16101	4468.242
16101	17568	12207.674	7901.972	20	'-01':3 '-03':2 '00':5,6 '12207.674':10 '20':7 '2020':1 '4305.702':8 '7901.972':9 't00':4	2020-03-01	16102	4305.702
16102	17568	12492.714	7975.1	21	'-01':3 '-03':2 '00':5,6 '12492.714':10 '2020':1 '21':7 '4517.614':8 '7975.1':9 't00':4	2020-03-01	16103	4517.614
16103	17568	12712.914	8056.274	22	'-01':3 '-03':2 '00':5,6 '12712.914':10 '2020':1 '22':7 '4656.64':8 '8056.274':9 't00':4	2020-03-01	16104	4656.64
16104	17568	12593.744	7970.092	23	'-01':3 '-03':2 '00':5,6 '12593.744':10 '2020':1 '23':7 '4623.652':8 '7970.092':9 't00':4	2020-03-01	16105	4623.652
16105	17568	12684.67	8025.716	24	'-01':3 '-03':2 '00':5,6 '12684.67':10 '2020':1 '24':7 '4658.954':8 '8025.716':9 't00':4	2020-03-01	16106	4658.954
16106	17568	12736.4	8068.336	25	'-01':3 '-03':2 '00':5,6 '12736.4':10 '2020':1 '25':7 '4668.064':8 '8068.336':9 't00':4	2020-03-01	16107	4668.064
16107	17568	12909.286	8105.42	26	'-01':3 '-03':2 '00':5,6 '12909.286':10 '2020':1 '26':7 '4803.866':8 '8105.42':9 't00':4	2020-03-01	16108	4803.866
16108	17568	12985.714	8109.14	27	'-01':3 '-03':2 '00':5,6 '12985.714':10 '2020':1 '27':7 '4876.574':8 '8109.14':9 't00':4	2020-03-01	16109	4876.574
16109	17568	12973.202	8028.116	28	'-01':3 '-03':2 '00':5,6 '12973.202':10 '2020':1 '28':7 '4945.086':8 '8028.116':9 't00':4	2020-03-01	16110	4945.086
16110	17568	12739.716	7827.642	29	'-01':3 '-03':2 '00':5,6 '12739.716':10 '2020':1 '29':7 '4912.074':8 '7827.642':9 't00':4	2020-03-01	16111	4912.074
16111	17568	12608.022	7846.274	30	'-01':3 '-03':2 '00':5,6 '12608.022':10 '2020':1 '30':7 '4761.748':8 '7846.274':9 't00':4	2020-03-01	16112	4761.748
16112	17568	12334.342	7834.526	31	'-01':3 '-03':2 '00':5,6 '12334.342':10 '2020':1 '31':7 '4499.816':8 '7834.526':9 't00':4	2020-03-01	16113	4499.816
16113	17568	12185.388	7767.24	32	'-01':3 '-03':2 '00':5,6 '12185.388':10 '2020':1 '32':7 '4418.148':8 '7767.24':9 't00':4	2020-03-01	16114	4418.148
16114	17568	11980.466	7634.608	33	'-01':3 '-03':2 '00':5,6 '11980.466':10 '2020':1 '33':7 '4345.858':8 '7634.608':9 't00':4	2020-03-01	16115	4345.858
16115	17568	11746.884	7416.328	34	'-01':3 '-03':2 '00':5,6 '11746.884':10 '2020':1 '34':7 '4330.556':8 '7416.328':9 't00':4	2020-03-01	16116	4330.556
16116	17568	11999.46	7431.338	35	'-01':3 '-03':2 '00':5,6 '11999.46':10 '2020':1 '35':7 '4568.122':8 '7431.338':9 't00':4	2020-03-01	16117	4568.122
16117	17568	11610.428	7181.424	36	'-01':3 '-03':2 '00':5,6 '11610.428':10 '2020':1 '36':7 '4429.004':8 '7181.424':9 't00':4	2020-03-01	16118	4429.004
16118	17568	11521.968	7223.43	37	'-01':3 '-03':2 '00':5,6 '11521.968':10 '2020':1 '37':7 '4298.538':8 '7223.43':9 't00':4	2020-03-01	16119	4298.538
16119	17568	11500.47	7224.88	38	'-01':3 '-03':2 '00':5,6 '11500.47':10 '2020':1 '38':7 '4275.59':8 '7224.88':9 't00':4	2020-03-01	16120	4275.59
16120	17568	11029.878	6834.618	39	'-01':3 '-03':2 '00':5,6 '11029.878':10 '2020':1 '39':7 '4195.26':8 '6834.618':9 't00':4	2020-03-01	16121	4195.26
16121	17568	11115.864	6906.784	40	'-01':3 '-03':2 '00':5,6 '11115.864':10 '2020':1 '40':7 '4209.08':8 '6906.784':9 't00':4	2020-03-01	16122	4209.08
16122	17568	11092.5	6961.468	41	'-01':3 '-03':2 '00':5,6 '11092.5':10 '2020':1 '41':7 '4131.032':8 '6961.468':9 't00':4	2020-03-01	16123	4131.032
16123	17568	10874.46	6821.74	42	'-01':3 '-03':2 '00':5,6 '10874.46':10 '2020':1 '4052.72':8 '42':7 '6821.74':9 't00':4	2020-03-01	16124	4052.72
16124	17568	10592.272	6673.27	43	'-01':3 '-03':2 '00':5,6 '10592.272':10 '2020':1 '3919.002':8 '43':7 '6673.27':9 't00':4	2020-03-01	16125	3919.002
16125	17568	10253.506	6649.48	44	'-01':3 '-03':2 '00':5,6 '10253.506':10 '2020':1 '3604.026':8 '44':7 '6649.48':9 't00':4	2020-03-01	16126	3604.026
16126	17568	10142.396	6584.558	45	'-01':3 '-03':2 '00':5,6 '10142.396':10 '2020':1 '3557.838':8 '45':7 '6584.558':9 't00':4	2020-03-01	16127	3557.838
16127	17568	9594.384	6149.11	46	'-01':3 '-03':2 '00':5,6 '2020':1 '3445.274':8 '46':7 '6149.11':9 '9594.384':10 't00':4	2020-03-01	16128	3445.274
16128	17568	9098.032	5654.64	47	'-01':3 '-03':2 '00':5,6 '2020':1 '3443.392':8 '47':7 '5654.64':9 '9098.032':10 't00':4	2020-03-01	16129	3443.392
16129	17568	8833.978	5460.872	48	'-01':3 '-03':2 '00':5,6 '2020':1 '3373.106':8 '48':7 '5460.872':9 '8833.978':10 't00':4	2020-03-01	16130	3373.106
16130	17568	8608.898	5352.79	1	'-02':3 '-03':2 '00':5,6 '1':7 '2020':1 '3256.108':8 '5352.79':9 '8608.898':10 't00':4	2020-03-02	16131	3256.108
16131	17568	8254.652	5177.2	2	'-02':3 '-03':2 '00':5,6 '2':7 '2020':1 '3077.452':8 '5177.2':9 '8254.652':10 't00':4	2020-03-02	16132	3077.452
16132	17568	7984.062	4788.492	3	'-02':3 '-03':2 '00':5,6 '2020':1 '3':7 '3195.57':8 '4788.492':9 '7984.062':10 't00':4	2020-03-02	16133	3195.57
16133	17568	7864.526	4610.336	4	'-02':3 '-03':2 '00':5,6 '2020':1 '3254.19':8 '4':7 '4610.336':9 '7864.526':10 't00':4	2020-03-02	16134	3254.19
16134	17568	7413.248	4323.632	5	'-02':3 '-03':2 '00':5,6 '2020':1 '3089.616':8 '4323.632':9 '5':7 '7413.248':10 't00':4	2020-03-02	16135	3089.616
16135	17568	7339.774	4314.104	6	'-02':3 '-03':2 '00':5,6 '2020':1 '3025.67':8 '4314.104':9 '6':7 '7339.774':10 't00':4	2020-03-02	16136	3025.67
16136	17568	6967.552	4040.41	7	'-02':3 '-03':2 '00':5,6 '2020':1 '2927.142':8 '4040.41':9 '6967.552':10 '7':7 't00':4	2020-03-02	16137	2927.142
16137	17568	6697.928	3783.956	8	'-02':3 '-03':2 '00':5,6 '2020':1 '2913.972':8 '3783.956':9 '6697.928':10 '8':7 't00':4	2020-03-02	16138	2913.972
16138	17568	6532.774	3596.554	9	'-02':3 '-03':2 '00':5,6 '2020':1 '2936.22':8 '3596.554':9 '6532.774':10 '9':7 't00':4	2020-03-02	16139	2936.22
16139	17568	5997.216	3243.528	10	'-02':3 '-03':2 '00':5,6 '10':7 '2020':1 '2753.688':8 '3243.528':9 '5997.216':10 't00':4	2020-03-02	16140	2753.688
16140	17568	5648.692	2935.858	11	'-02':3 '-03':2 '00':5,6 '11':7 '2020':1 '2712.834':8 '2935.858':9 '5648.692':10 't00':4	2020-03-02	16141	2712.834
16141	17568	5093.78	2582.014	12	'-02':3 '-03':2 '00':5,6 '12':7 '2020':1 '2511.766':8 '2582.014':9 '5093.78':10 't00':4	2020-03-02	16142	2511.766
16142	17568	4996.388	2522.992	13	'-02':3 '-03':2 '00':5,6 '13':7 '2020':1 '2473.396':8 '2522.992':9 '4996.388':10 't00':4	2020-03-02	16143	2473.396
16143	17568	4794.49	2444.338	14	'-02':3 '-03':2 '00':5,6 '14':7 '2020':1 '2350.152':8 '2444.338':9 '4794.49':10 't00':4	2020-03-02	16144	2350.152
16144	17568	4666.706	2251.892	15	'-02':3 '-03':2 '00':5,6 '15':7 '2020':1 '2251.892':9 '2414.814':8 '4666.706':10 't00':4	2020-03-02	16145	2414.814
