,England/Wales Wind Output,Scottish Wind Output,Sett_Date,Sett_Period,Total,_count,_full_text,_id
2928,6629.836,2927.28,2022-01-01,1,9557.116,7246,"'-01':2,3 '1':4 '2022':1 '2927.28':5 '6629.836':6 '9557.116':7",13203
2929,6678.798,3206.206,2022-01-01,2,9885.004,7246,"'-01':2,3 '2':4 '2022':1 '3206.206':5 '6678.798':6 '9885.004':7",13204
2930,6983.836,3404.452,2022-01-01,3,10388.288,7246,"'-01':2,3 '10388.288':7 '2022':1 '3':4 '3404.452':5 '6983.836':6",13205
2931,6854.844,3443.408,2022-01-01,4,10298.252,7246,"'-01':2,3 '10298.252':7 '2022':1 '3443.408':5 '4':4 '6854.844':6",13206
2932,7064.948,3419.514,2022-01-01,5,10484.462,7246,"'-01':2,3 '10484.462':7 '2022':1 '3419.514':5 '5':4 '7064.948':6",13207
2933,7263.616,3250.836,2022-01-01,6,10514.452,7246,"'-01':2,3 '10514.452':7 '2022':1 '3250.836':5 '6':4 '7263.616':6",13208
2934,7394.526,3527.786,2022-01-01,7,10922.312,7246,"'-01':2,3 '10922.312':7 '2022':1 '3527.786':5 '7':4 '7394.526':6",13209
2935,7095.594,3517.888,2022-01-01,8,10613.482,7246,"'-01':2,3 '10613.482':7 '2022':1 '3517.888':5 '7095.594':6 '8':4",13210
2936,7036.376,3302.738,2022-01-01,9,10339.114,7246,"'-01':2,3 '10339.114':7 '2022':1 '3302.738':5 '7036.376':6 '9':4",13211
2937,7003.766,3152.814,2022-01-01,10,10156.58,7246,"'-01':2,3 '10':4 '10156.58':7 '2022':1 '3152.814':5 '7003.766':6",13212
2938,7131.67,3102.938,2022-01-01,11,10234.608,7246,"'-01':2,3 '10234.608':7 '11':4 '2022':1 '3102.938':5 '7131.67':6",13213
2939,7398.054,2716.984,2022-01-01,12,10115.038,7246,"'-01':2,3 '10115.038':7 '12':4 '2022':1 '2716.984':5 '7398.054':6",13214
2940,8018.466,2627.936,2022-01-01,13,10646.402,7246,"'-01':2,3 '10646.402':7 '13':4 '2022':1 '2627.936':5 '8018.466':6",13215
2941,8200.406,2964.898,2022-01-01,14,11165.304,7246,"'-01':2,3 '11165.304':7 '14':4 '2022':1 '2964.898':5 '8200.406':6",13216
2942,8404.514,3101.828,2022-01-01,15,11506.342,7246,"'-01':2,3 '11506.342':7 '15':4 '2022':1 '3101.828':5 '8404.514':6",13217
2943,8427.72,2862.73,2022-01-01,16,11290.45,7246,"'-01':2,3 '11290.45':7 '16':4 '2022':1 '2862.73':5 '8427.72':6",13218
2944,8518.822,2875.026,2022-01-01,17,11393.848,7246,"'-01':2,3 '11393.848':7 '17':4 '2022':1 '2875.026':5 '8518.822':6",13219
2945,8656.106,3002.644,2022-01-01,18,11658.75,7246,"'-01':2,3 '11658.75':7 '18':4 '2022':1 '3002.644':5 '8656.106':6",13220
2946,8548.266,3111.162,2022-01-01,19,11659.428,7246,"'-01':2,3 '11659.428':7 '19':4 '2022':1 '3111.162':5 '8548.266':6",13221
2947,8589.902,3102.452,2022-01-01,20,11692.354,7246,"'-01':2,3 '11692.354':7 '20':4 '2022':1 '3102.452':5 '8589.902':6",13222
2948,8552.848,3138.932,2022-01-01,21,11691.78,7246,"'-01':2,3 '11691.78':7 '2022':1 '21':4 '3138.932':5 '8552.848':6",13223
2949,8609.23,3360.272,2022-01-01,22,11969.502,7246,"'-01':2,3 '11969.502':7 '2022':1 '22':4 '3360.272':5 '8609.23':6",13224
2950,8498.314,3451.236,2022-01-01,23,11949.55,7246,"'-01':2,3 '11949.55':7 '2022':1 '23':4 '3451.236':5 '8498.314':6",13225
2951,8527.6,3466.932,2022-01-01,24,11994.532,7246,"'-01':2,3 '11994.532':7 '2022':1 '24':4 '3466.932':5 '8527.6':6",13226
2952,8479.154,3546.178,2022-01-01,25,12025.332,7246,"'-01':2,3 '12025.332':7 '2022':1 '25':4 '3546.178':5 '8479.154':6",13227
2953,8467.538,3655.378,2022-01-01,26,12122.916,7246,"'-01':2,3 '12122.916':7 '2022':1 '26':4 '3655.378':5 '8467.538':6",13228
2954,8480.074,3390.498,2022-01-01,27,11870.572,7246,"'-01':2,3 '11870.572':7 '2022':1 '27':4 '3390.498':5 '8480.074':6",13229
2955,8278.158,3281.442,2022-01-01,28,11559.6,7246,"'-01':2,3 '11559.6':7 '2022':1 '28':4 '3281.442':5 '8278.158':6",13230
2956,8046.114,3392.218,2022-01-01,29,11438.332,7246,"'-01':2,3 '11438.332':7 '2022':1 '29':4 '3392.218':5 '8046.114':6",13231
2957,8118.366,3348.316,2022-01-01,30,11466.682,7246,"'-01':2,3 '11466.682':7 '2022':1 '30':4 '3348.316':5 '8118.366':6",13232
2958,8336.984,3157.066,2022-01-01,31,11494.05,7246,"'-01':2,3 '11494.05':7 '2022':1 '31':4 '3157.066':5 '8336.984':6",13233
2959,8402.586,2887.164,2022-01-01,32,11289.75,7246,"'-01':2,3 '11289.75':7 '2022':1 '2887.164':5 '32':4 '8402.586':6",13234
2960,8086.68,2903.604,2022-01-01,33,10990.284,7246,"'-01':2,3 '10990.284':7 '2022':1 '2903.604':5 '33':4 '8086.68':6",13235
2961,8039.96,3027.706,2022-01-01,34,11067.666,7246,"'-01':2,3 '11067.666':7 '2022':1 '3027.706':5 '34':4 '8039.96':6",13236
2962,8060.06,3063.744,2022-01-01,35,11123.804,7246,"'-01':2,3 '11123.804':7 '2022':1 '3063.744':5 '35':4 '8060.06':6",13237
2963,7901.806,3110.82,2022-01-01,36,11012.626,7246,"'-01':2,3 '11012.626':7 '2022':1 '3110.82':5 '36':4 '7901.806':6",13238
2964,7810.902,2980.828,2022-01-01,37,10791.73,7246,"'-01':2,3 '10791.73':7 '2022':1 '2980.828':5 '37':4 '7810.902':6",13239
2965,7962.354,2814.492,2022-01-01,38,10776.846,7246,"'-01':2,3 '10776.846':7 '2022':1 '2814.492':5 '38':4 '7962.354':6",13240
2966,7941.638,2850.268,2022-01-01,39,10791.906,7246,"'-01':2,3 '10791.906':7 '2022':1 '2850.268':5 '39':4 '7941.638':6",13241
2967,7714.52,2834.944,2022-01-01,40,10549.464,7246,"'-01':2,3 '10549.464':7 '2022':1 '2834.944':5 '40':4 '7714.52':6",13242
2968,7513.816,2790.788,2022-01-01,41,10304.604,7246,"'-01':2,3 '10304.604':7 '2022':1 '2790.788':5 '41':4 '7513.816':6",13243
2969,7332.016,2838.488,2022-01-01,42,10170.504,7246,"'-01':2,3 '10170.504':7 '2022':1 '2838.488':5 '42':4 '7332.016':6",13244
2970,7239.98,3066.2,2022-01-01,43,10306.18,7246,"'-01':2,3 '10306.18':7 '2022':1 '3066.2':5 '43':4 '7239.98':6",13245
2971,6988.452,3293.092,2022-01-01,44,10281.544,7246,"'-01':2,3 '10281.544':7 '2022':1 '3293.092':5 '44':4 '6988.452':6",13246
