Datetime,_count,Total,England/Wales Wind Output,_full_text,_id,Scottish Wind Output
2022-05-01 00:00:00,10274,3443.476,2153.198,'-01':3 '-05':2 '1':4 '1290.278':5 '2022':1 '2153.198':6 '3443.476':7,1441,1290.278
2022-05-01 00:30:00,10274,3306.984,2123.956,'-01':3 '-05':2 '1183.028':5 '2':4 '2022':1 '2123.956':6 '3306.984':7,1442,1183.028
2022-05-01 01:00:00,10274,3147.178,2072.5,'-01':3 '-05':2 '1074.678':5 '2022':1 '2072.5':6 '3':4 '3147.178':7,1443,1074.678
2022-05-01 01:30:00,10274,3118.564,2147.376,'-01':3 '-05':2 '2022':1 '2147.376':6 '3118.564':7 '4':4 '971.188':5,1444,971.188
2022-05-01 02:00:00,10274,2955.444,2023.044,'-01':3 '-05':2 '2022':1 '2023.044':6 '2955.444':7 '5':4 '932.4':5,1445,932.4
2022-05-01 02:30:00,10274,2861.508,1992.958,'-01':3 '-05':2 '1992.958':6 '2022':1 '2861.508':7 '6':4 '868.55':5,1446,868.55
2022-05-01 03:00:00,10274,2736.602,1971.154,'-01':3 '-05':2 '1971.154':6 '2022':1 '2736.602':7 '7':4 '765.448':5,1447,765.448
2022-05-01 03:30:00,10274,2507.362,1846.524,'-01':3 '-05':2 '1846.524':6 '2022':1 '2507.362':7 '660.838':5 '8':4,1448,660.838
2022-05-01 04:00:00,10274,2335.414,1738.182,'-01':3 '-05':2 '1738.182':6 '2022':1 '2335.414':7 '597.232':5 '9':4,1449,597.232
2022-05-01 04:30:00,10274,2189.262,1682.628,'-01':3 '-05':2 '10':4 '1682.628':6 '2022':1 '2189.262':7 '506.634':5,1450,506.634
2022-05-01 05:00:00,10274,2131.082,1675.758,'-01':3 '-05':2 '11':4 '1675.758':6 '2022':1 '2131.082':7 '455.324':5,1451,455.324
2022-05-01 05:30:00,10274,2008.314,1585.848,'-01':3 '-05':2 '12':4 '1585.848':6 '2008.314':7 '2022':1 '422.466':5,1452,422.466
2022-05-01 06:00:00,10274,1898.244,1512.47,'-01':3 '-05':2 '13':4 '1512.47':6 '1898.244':7 '2022':1 '385.774':5,1453,385.774
2022-05-01 06:30:00,10274,1855.896,1515.656,'-01':3 '-05':2 '14':4 '1515.656':6 '1855.896':7 '2022':1 '340.24':5,1454,340.24
2022-05-01 07:00:00,10274,1785.832,1439.67,'-01':3 '-05':2 '1439.67':6 '15':4 '1785.832':7 '2022':1 '346.162':5,1455,346.162
2022-05-01 07:30:00,10274,1729.344,1433.744,'-01':3 '-05':2 '1433.744':6 '16':4 '1729.344':7 '2022':1 '295.6':5,1456,295.6
2022-05-01 08:00:00,10274,1711.334,1433.638,'-01':3 '-05':2 '1433.638':6 '17':4 '1711.334':7 '2022':1 '277.696':5,1457,277.696
2022-05-01 08:30:00,10274,1773.652,1461.904,'-01':3 '-05':2 '1461.904':6 '1773.652':7 '18':4 '2022':1 '311.748':5,1458,311.748
2022-05-01 09:00:00,10274,1825.508,1515.952,'-01':3 '-05':2 '1515.952':6 '1825.508':7 '19':4 '2022':1 '309.556':5,1459,309.556
2022-05-01 09:30:00,10274,1800.962,1479.006,'-01':3 '-05':2 '1479.006':6 '1800.962':7 '20':4 '2022':1 '321.956':5,1460,321.956
2022-05-01 10:00:00,10274,1602.088,1316.156,'-01':3 '-05':2 '1316.156':6 '1602.088':7 '2022':1 '21':4 '285.932':5,1461,285.932
2022-05-01 10:30:00,10274,1549.1,1247.024,'-01':3 '-05':2 '1247.024':6 '1549.1':7 '2022':1 '22':4 '302.076':5,1462,302.076
2022-05-01 11:00:00,10274,1562.388,1197.802,'-01':3 '-05':2 '1197.802':6 '1562.388':7 '2022':1 '23':4 '364.586':5,1463,364.586
2022-05-01 11:30:00,10274,1681.526,1291.432,'-01':3 '-05':2 '1291.432':6 '1681.526':7 '2022':1 '24':4 '390.094':5,1464,390.094
2022-05-01 12:00:00,10274,1816.198,1379.122,'-01':3 '-05':2 '1379.122':6 '1816.198':7 '2022':1 '25':4 '437.076':5,1465,437.076
2022-05-01 12:30:00,10274,1823.002,1417.906,'-01':3 '-05':2 '1417.906':6 '1823.002':7 '2022':1 '26':4 '405.096':5,1466,405.096
2022-05-01 13:00:00,10274,1669.942,1303.204,'-01':3 '-05':2 '1303.204':6 '1669.942':7 '2022':1 '27':4 '366.738':5,1467,366.738
2022-05-01 13:30:00,10274,1608.114,1217.106,'-01':3 '-05':2 '1217.106':6 '1608.114':7 '2022':1 '28':4 '391.008':5,1468,391.008
2022-05-01 14:00:00,10274,1505.4,1096.004,'-01':3 '-05':2 '1096.004':6 '1505.4':7 '2022':1 '29':4 '409.396':5,1469,409.396
2022-05-01 14:30:00,10274,1404.074,988.752,'-01':3 '-05':2 '1404.074':7 '2022':1 '30':4 '415.322':5 '988.752':6,1470,415.322
2022-05-01 15:00:00,10274,1247.424,896.37,'-01':3 '-05':2 '1247.424':7 '2022':1 '31':4 '351.054':5 '896.37':6,1471,351.054
2022-05-01 15:30:00,10274,1057.33,770.042,'-01':3 '-05':2 '1057.33':7 '2022':1 '287.288':5 '32':4 '770.042':6,1472,287.288
2022-05-01 16:00:00,10274,1001.654,728.774,'-01':3 '-05':2 '1001.654':7 '2022':1 '272.88':5 '33':4 '728.774':6,1473,272.88
2022-05-01 16:30:00,10274,969.832,711.392,'-01':3 '-05':2 '2022':1 '258.44':5 '34':4 '711.392':6 '969.832':7,1474,258.44
2022-05-01 17:00:00,10274,860.364,624.712,'-01':3 '-05':2 '2022':1 '235.652':5 '35':4 '624.712':6 '860.364':7,1475,235.652
2022-05-01 17:30:00,10274,695.678,479.242,'-01':3 '-05':2 '2022':1 '216.436':5 '36':4 '479.242':6 '695.678':7,1476,216.436
2022-05-01 18:00:00,10274,637.4,459.9,'-01':3 '-05':2 '177.5':5 '2022':1 '37':4 '459.9':6 '637.4':7,1477,177.5
2022-05-01 18:30:00,10274,536.498,382.442,'-01':3 '-05':2 '154.056':5 '2022':1 '38':4 '382.442':6 '536.498':7,1478,154.056
